slug,name,thickness_pct,camber_pct,concave,max_gap_pct,gap_x
goe393-il,GOE 393 AIRFOIL,6.08,4.21,YES,2.32,0.400
goe394-il,GOE 394 AIRFOIL,6.11,5.88,YES,4.17,0.500
goe395-il,GOE 395 AIRFOIL,6.11,6.98,YES,5.35,0.499
goe396-il,GOE 396 AIRFOIL,4.70,5.77,YES,3.76,0.400
goe397-il,GOE 397 AIRFOIL,5.10,3.96,YES,1.91,0.400
goe398-il,GOE 398 AIRFOIL,13.85,4.85,YES,0.33,0.600
goe399-il,GOE 399 AIRFOIL,6.90,4.22,YES,1.49,0.400
goe400-il,GOE 400 AIRFOIL,6.12,4.89,YES,3.05,0.400
goe401-il,GOE 401 AIRFOIL,7.10,4.86,YES,2.19,0.300
goe402-il,GOE 402 AIRFOIL,6.80,5.73,YES,2.84,0.400
goe403-il,GOE 403 AIRFOIL,6.65,4.32,YES,1.90,0.500
goe404-il,GOE 404 AIRFOIL,13.19,4.96,YES,0.64,0.300
goe405-il,GOE 405 AIRFOIL,11.10,6.54,YES,2.05,0.400
goe406-il,GOE 406 AIRFOIL,11.69,5.53,YES,1.04,0.300
goe407-il,GOE 407 AIRFOIL,9.46,4.78,YES,1.23,0.300
goe408-il,GOE 408 AIRFOIL,7.75,4.14,YES,1.27,0.300
goe409-il,GOE 409 AIRFOIL,12.70,0.00,no,0.10,0.950
goe410-il,GOE 410 AIRFOIL,16.10,0.00,YES,0.32,0.800
goe411-il,GOE 411 AIRFOIL,13.20,0.00,no,0.00,0.000
goe412-il,GOE 412 AIRFOIL,13.13,5.10,YES,0.53,0.600
goe413-il,GOE 413 AIRFOIL,16.35,4.65,YES,1.40,0.700
goe414-il,GOE 414 AIRFOIL,13.61,5.25,YES,0.59,0.500
goe415-il,GOE 415 AIRFOIL,8.47,3.66,YES,0.75,0.500
goe416a-il,GOE 416A AIRFOIL,11.66,1.33,YES,0.96,0.701
goe417-il,GOE 417 AIRFOIL,6.00,6.13,YES,3.87,0.400
goe417a-il,GOE 417A (GEW. PLATTE) AIRFOIL,3.20,5.90,YES,5.30,0.400
goe418-il,GOE 418 AIRFOIL,12.70,5.08,YES,1.50,0.500
goe419-il,GOE 419 AIRFOIL,5.30,4.40,YES,1.75,0.400
goe420-il,GOE 420 AIRFOIL,18.75,4.30,YES,0.75,0.700
goe421-il,GOE 421 AIRFOIL,19.01,8.11,YES,2.09,0.600
goe422-il,GOE 422 AIRFOIL,17.07,6.51,YES,0.64,0.800
goe423-il,GOE 423 AIRFOIL,16.94,5.06,no,0.03,0.601
goe424-il,GOE 424 AIRFOIL,19.93,4.78,no,0.00,0.951
goe425-il,GOE 425 AIRFOIL,16.02,4.54,YES,0.44,0.701
goe426-il,GOE 426 AIRFOIL,13.60,4.55,YES,0.90,0.800
goe427-il,GOE 427 AIRFOIL,4.60,5.70,YES,3.55,0.400
goe428-il,GOE 428 AIRFOIL,7.90,5.22,YES,2.05,0.500
goe429-il,GOE 429 AIRFOIL,11.38,0.19,YES,0.46,0.800
goe430-il,GOE 430 AIRFOIL,13.38,4.82,YES,2.65,0.699
goe431-il,GOE 431 AIRFOIL,11.80,7.22,YES,4.80,0.600
goe432-il,GOE 432 AIRFOIL,7.70,4.33,YES,1.55,0.500
goe433-il,GOE 433 AIRFOIL,17.42,4.85,YES,2.26,0.700
goe434-il,GOE 434 AIRFOIL,22.75,5.18,YES,2.42,0.800
goe435-il,GOE 435 AIRFOIL,26.05,4.66,YES,2.50,0.800
goe436-il,GOE 436 AIRFOIL,11.00,3.75,no,0.00,0.400
goe437-il,GOE 437 AIRFOIL,7.05,4.80,YES,2.00,0.500
goe438-il,GOE 438 AIRFOIL,11.00,3.77,no,0.00,0.600
goe439-il,GOE 439 AIRFOIL,7.90,5.22,YES,2.07,0.500
goe440-il,GOE 440 AIRFOIL,15.25,9.70,YES,4.17,0.600
goe441-il,GOE 441 AIRFOIL,15.99,7.72,YES,3.72,0.599
goe442-il,GOE 442 AIRFOIL,7.70,4.33,YES,1.55,0.500
goe443-il,GOE 443 AIRFOIL,5.00,0.00,no,0.00,0.000
goe444-il,GOE 444 AIRFOIL,5.60,0.00,no,0.00,0.000
goe445-il,GOE 445 AIRFOIL,6.40,0.00,no,0.00,0.000
goe446-il,GOE 446 AIRFOIL,12.88,6.33,YES,1.60,0.600
goe447-il,GOE 447 AIRFOIL,12.69,8.01,YES,3.16,0.500
goe448-il,GOE 448 AIRFOIL,12.90,10.51,YES,5.26,0.499
goe449-il,GOE 449 AIRFOIL,16.95,5.39,no,0.15,0.950
goe450-il,GOE 450 AIRFOIL,8.90,5.18,YES,1.85,0.500
goe451-il,GOE 451 AIRFOIL (modified line 6),4.40,5.57,YES,3.54,0.400
goe456-il,GOE 456 AIRFOIL,7.20,5.20,YES,2.30,0.500
goe457-il,GOE 457 AIRFOIL,7.83,4.22,YES,1.53,0.500
goe458-il,GOE 458 AIRFOIL,7.20,5.20,YES,2.30,0.500
goe459-il,GOE 459 AIRFOIL,12.70,0.00,no,0.00,0.000
goe460-il,GOE 460 AIRFOIL,20.50,0.00,no,0.03,0.950
goe462-il,GOE 462 AIRFOIL,10.98,13.37,YES,12.05,0.399
goe464-il,GOE 464 AIRFOIL,7.72,9.91,YES,8.27,0.399
goe474-il,GOE 474 AIRFOIL,6.95,2.90,YES,0.65,0.400
goe476-il,GOE 476 AIRFOIL,14.47,5.21,YES,0.80,0.501
goe477-il,GOE 477 AIRFOIL,10.05,4.88,YES,1.02,0.500
goe478-il,GOE 478 AIRFOIL,13.35,4.30,no,0.15,0.501
goe479-il,GOE 479 AIRFOIL,11.60,4.00,no,0.28,0.700
goe480-il,GOE 480 AIRFOIL,11.75,5.50,YES,1.52,0.500
goe481-il,GOE 481 AIRFOIL,13.39,8.81,YES,7.88,0.298
goe481a-il,GOE 481A AIRFOIL,15.33,5.50,YES,1.11,0.501
goe482-il,GOE 482 AIRFOIL,16.54,8.79,YES,3.90,0.599
goe483-il,GOE 483 AIRFOIL,5.45,5.82,YES,3.85,0.400
goe484-il,GOE 484 AIRFOIL,6.25,4.95,YES,2.92,0.600
goe488-il,GOE 488 AIRFOIL,6.81,3.04,YES,0.87,0.300
goe490-il,GOE 490 AIRFOIL,8.81,3.83,YES,0.95,0.300
goe491-il,GOE 491 AIRFOIL,4.85,2.94,YES,1.20,0.300
goe492-il,GOE 492 AIRFOIL,6.21,3.37,YES,1.21,0.600
goe493-il,GOE 493 AIRFOIL,14.93,3.37,YES,0.55,0.801
goe494-il,GOE 494 AIRFOIL,4.95,5.10,YES,3.57,0.600
goe495-il,GOE 495 AIRFOIL,6.90,5.00,YES,2.95,0.600
goe496-il,GOE 496 AIRFOIL,9.95,5.00,YES,2.50,0.600
goe497-il,GOE 497 AIRFOIL,12.70,5.33,YES,2.40,0.600
goe498-il,GOE 498 AIRFOIL,15.93,5.50,YES,2.15,0.700
goe499-il,GOE 499 AIRFOIL,6.80,5.85,YES,4.05,0.600
goe500-il,GOE 500 AIRFOIL,10.00,6.00,YES,3.30,0.600
goe501-il,GOE 501 AIRFOIL,12.80,6.30,YES,3.05,0.600
goe502-il,GOE 502 AIRFOIL,15.91,6.10,YES,2.50,0.600
goe503-il,GOE 503 AIRFOIL,15.62,6.98,YES,1.25,0.400
goe504-il,GOE 504 AIRFOIL,17.98,5.41,no,0.00,0.601
goe505-il,GOE 505 AIRFOIL,13.97,5.88,YES,1.30,0.400
goe506-il,GOE 506 AIRFOIL,16.48,4.66,no,0.00,0.501
goe507-il,GOE 507 AIRFOIL,8.65,2.92,no,0.30,0.500
goe508-il,GOE 508 AIRFOIL,16.50,5.64,no,0.00,0.700
goe509-il,GOE 509 AIRFOIL,11.05,5.17,YES,1.25,0.400
goe510-il,GOE 510 AIRFOIL,13.72,5.85,YES,1.58,0.400
goe511-il,GOE 511 AIRFOIL,16.61,7.98,YES,1.70,0.400
goe512-il,GOE 512 AIRFOIL,13.90,5.61,YES,0.95,0.400
goe513-il,GOE 513 AIRFOIL,16.62,5.22,YES,0.80,0.400
goe514-il,GOE 514 AIRFOIL,16.56,6.45,YES,1.40,0.400
goe515-il,GOE 515 AIRFOIL,8.45,2.79,YES,0.38,0.500
goe517-il,GOE 517 AIRFOIL,7.00,4.65,YES,1.65,0.400
goe518-il,GOE 518 AIRFOIL,18.00,7.30,no,0.00,0.500
goe522-il,GOE 522 AIRFOIL,21.84,5.21,YES,1.05,0.701
goe523-il,GOE 523 AIRFOIL,16.49,9.70,YES,5.90,0.699
goe525-il,GOE 525 AIRFOIL,16.49,9.70,YES,5.90,0.699
goe526-il,GOE 526 AIRFOIL,12.31,4.13,YES,0.35,0.500
goe527-il,GOE 527 AIRFOIL,16.55,5.83,YES,0.35,0.600
goe528-il,GOE 528 AIRFOIL,12.46,6.19,YES,1.40,0.500
goe529-il,GOE 529 AIRFOIL,9.71,5.78,YES,1.91,0.400
goe530-il,GOE 530 AIRFOIL,12.91,5.08,YES,0.75,0.500
goe531-il,GOE 531 AIRFOIL,13.80,14.69,YES,10.12,0.497
goe532-il,GOE 532 AIRFOIL,12.50,4.84,YES,1.44,0.700
goe533-il,GOE 533 AIRFOIL,13.70,4.68,YES,1.40,0.700
goe534-il,GOE 534 AIRFOIL,14.12,5.21,YES,2.72,0.600
goe535-il,GOE 535 AIRFOIL,16.05,5.75,YES,2.93,0.600
goe546-il,GOE 546 AIRFOIL,10.40,3.58,YES,0.75,0.700
goe547-il,GOE 547 AIRFOIL,10.50,4.01,YES,0.90,0.700
goe548-il,GOE 548 AIRFOIL,11.90,2.30,no,0.02,0.900
goe549-il,GOE 549 AIRFOIL,13.85,4.68,YES,0.65,0.700
goe55-il,GOE 55 AIRFOIL,6.16,2.04,YES,0.75,0.500
goe550-il,GOE 550 AIRFOIL,12.95,4.27,YES,1.65,0.600
goe553-il,GOE 553 AIRFOIL,13.70,4.67,YES,1.40,0.700
goe559-il,GOE 559 AIRFOIL,11.15,3.43,no,0.00,0.700
goe561-il,GOE 561 AIRFOIL,24.95,10.24,no,0.00,0.700
goe562-il,GOE 562 AIRFOIL,14.10,6.25,YES,0.38,0.400
goe563-il,GOE 563 AIRFOIL,8.89,2.24,no,0.00,0.950
goe564-il,GOE 564 AIRFOIL,8.20,2.67,no,0.00,0.500
goe565-il,GOE 565 AIRFOIL,8.40,2.79,YES,0.65,0.700
goe566-il,GOE 566 AIRFOIL,8.65,2.55,no,0.04,0.800
goe567-il,GOE 567 AIRFOIL,14.77,5.26,YES,2.30,0.700
goe57-il,GOE 57 AIRFOIL,6.29,5.12,YES,2.89,0.400
goe570-il,GOE 570 AIRFOIL,33.70,9.68,no,0.00,0.600
goe571-il,GOE 571 AIRFOIL,24.95,9.83,no,0.00,0.501
goe572-il,GOE 572 AIRFOIL,18.60,8.32,YES,0.50,0.500
goe573-il,GOE 573 AIRFOIL,14.10,6.48,YES,0.63,0.400
goe574-il,GOE 574 AIRFOIL,10.25,4.92,YES,0.71,0.400
goe575-il,GOE 575 AIRFOIL,13.35,3.61,no,0.11,0.400
goe584-il,GOE 584 AIRFOIL,12.70,4.95,YES,0.45,0.400
goe585-il,GOE 585 AIRFOIL,8.20,3.36,YES,0.70,0.500
goe587-il,GOE 587 AIRFOIL,5.80,2.96,YES,0.85,0.300
goe590-il,GOE 590 AIRFOIL,5.70,4.01,YES,1.65,0.300
goe591-il,GOE 591 AIRFOIL,11.20,5.05,YES,0.75,0.500
goe592-il,GOE 592 AIRFOIL,14.27,7.49,YES,1.85,0.500
goe593-il,GOE 593 AIRFOIL,11.90,4.05,no,0.03,0.300
goe595-il,GOE 595 AIRFOIL,9.55,3.02,no,0.00,0.700
goe596-il,GOE 596 AIRFOIL,9.75,4.03,YES,0.40,0.500
goe598-il,GOE 598 AIRFOIL,6.54,0.97,no,0.00,0.601
goe599-il,GOE 599 AIRFOIL,9.96,1.53,no,0.00,0.801
goe05k-il,GOE 5K AIRFOIL,3.70,1.53,no,0.00,0.900
goe600-il,GOE 600 AIRFOIL,13.05,1.89,no,0.00,0.801
goe601-il,GOE 601 AIRFOIL,16.00,2.46,no,0.00,0.901
goe602-il,GOE 602 AIRFOIL,9.95,3.48,YES,0.45,0.700
goe602m-il,GOE 602 MOD. AIRFOIL,9.60,3.80,YES,1.20,0.600
goe604-il,GOE 604 AIRFOIL,17.84,5.36,no,0.00,0.801
goe610b-il,GOE 610 B AIRFOIL,7.80,5.30,YES,2.00,0.400
goe610bm-il,GOE 610-B MOD. AIRFOIL,7.70,5.68,YES,2.60,0.500
goe611-il,GOE 611 AIRFOIL,12.90,5.81,no,0.00,0.300
goe612-il,GOE 612 AIRFOIL,15.01,5.02,YES,0.95,0.600
goe613-il,GOE 613 AIRFOIL,10.30,4.09,no,0.00,0.900
goe614-il,GOE 614 AIRFOIL,18.77,6.18,YES,1.25,0.600
goe615-il,GOE 615 AIRFOIL,13.66,5.60,YES,0.85,0.600
goe617-il,GOE 617 AIRFOIL,13.85,2.17,no,0.00,0.000
goe619-il,GOE 619 AIRFOIL,13.75,4.55,YES,1.15,0.500
goe620-il,GOE 620 AIRFOIL,17.50,5.90,YES,1.20,0.700
goe621-il,GOE 621 AIRFOIL,15.01,5.02,YES,0.95,0.600
goe622-il,GOE 622 AIRFOIL,8.00,2.46,no,0.00,0.600
goe623-il,GOE 623 AIRFOIL,12.00,3.90,no,0.00,0.950
goe624-il,GOE 624 AIRFOIL,16.00,5.30,no,0.00,0.700
goe625-il,GOE 625 AIRFOIL,20.00,6.22,no,0.00,0.600
goe626-il,GOE 626 AIRFOIL,16.50,5.07,YES,2.90,0.600
goe627-il,GOE 627 AIRFOIL,15.75,4.07,no,0.00,0.000
goe628-il,GOE 628 AIRFOIL,16.68,5.62,YES,1.70,0.600
goe629-il,GOE 629 AIRFOIL,13.63,2.77,no,0.00,0.900
goe63-il,GOE 63 AIRFOIL,8.26,6.69,YES,3.83,0.400
goe630-il,GOE 630 AIRFOIL,12.56,7.66,YES,2.75,0.500
goe632-il,GOE 632 AIRFOIL,14.00,3.92,no,0.15,0.400
goe633-il,GOE 633 AIRFOIL,13.76,3.95,YES,0.60,0.501
goe645-il,GOE 645 AIRFOIL,15.44,4.82,YES,1.20,0.600
goe646-il,GOE 646 AIRFOIL,18.34,4.48,YES,1.43,0.701
goe647-il,GOE 647 AIRFOIL,16.24,5.34,YES,0.80,0.600
goe648-il,GOE 648 AIRFOIL,15.17,3.92,YES,0.40,0.800
goe650-il,GOE 650 AIRFOIL,13.39,4.41,YES,1.95,0.700
goe652-il,GOE 652 AIRFOIL,17.05,9.25,YES,7.95,0.600
goe654-il,GOE 654 AIRFOIL,14.50,5.20,YES,0.55,0.700
goe655-il,GOE 655 AIRFOIL,13.90,4.39,YES,0.38,0.700
goe670-il,GOE 670 AIRFOIL,9.00,3.39,YES,0.45,0.300
goe673-il,GOE 673 AIRFOIL,10.78,2.76,no,0.30,0.800
goe675-il,GOE 675 AIRFOIL,14.92,5.87,YES,1.15,0.600
goe676-il,GOE 676 (= M 12) AIRFOIL,11.90,2.04,no,0.00,0.000
goe677-il,GOE 677 (= M 6) AIRFOIL,11.95,2.29,no,0.00,0.000
goe679-il,GOE 679 AIRFOIL,18.29,4.53,no,0.00,0.602
goe681-il,GOE 681 AIRFOIL,16.84,4.35,no,0.03,0.502
goe682-il,GOE 682 AIRFOIL,10.65,4.32,YES,0.85,0.600
goe683-il,GOE 683 AIRFOIL,19.90,2.95,no,0.00,0.000
goe685-il,GOE 685 AIRFOIL,13.06,4.20,YES,1.65,0.600
goe692-il,GOE 692 AIRFOIL,16.10,5.10,no,0.00,0.950
goe693-il,GOE 693 AIRFOIL,12.00,3.71,no,0.00,0.300
goe06k-il,GOE 6K AIRFOIL,7.50,3.10,no,0.00,0.500
goe701-il,GOE 701 AIRFOIL,12.47,4.87,YES,0.90,0.400
goe702-il,GOE 702 AIRFOIL,16.64,5.11,YES,0.90,0.501
goe703-il,GOE 703 AIRFOIL,19.40,2.30,no,0.00,0.000
goe704-il,GOE 704 AIRFOIL,12.95,2.14,no,0.00,0.501
goe711-il,GOE 711 AIRFOIL,14.85,6.52,no,0.00,0.200
goe723-il,GOE 723 AIRFOIL,11.56,4.49,YES,1.69,0.600
goe735-il,GOE 735 AIRFOIL,20.10,4.38,no,0.00,0.000
goe738-il,GOE 738 AIRFOIL,15.44,2.12,no,0.00,0.000
goe741-il,GOE 741 AIRFOIL,15.33,4.82,YES,0.35,0.300
goe744-il,GOE 744 AIRFOIL,14.48,7.02,YES,1.87,0.400
goe746-il,GOE 746 AIRFOIL,9.75,5.04,YES,1.27,0.400
goe758-il,GOE 758 AIRFOIL,13.85,4.68,YES,0.65,0.700
goe766-il,GOE 766 AIRFOIL,12.01,1.48,no,0.00,0.000
goe767-il,GOE 767 AIRFOIL,12.00,1.50,no,0.00,0.950
goe769-il,GOE 769 AIRFOIL,13.82,4.79,YES,0.75,0.500
goe770-il,GOE 770 AIRFOIL,20.99,4.04,no,0.02,0.900
goe775-il,GOE 775 AIRFOIL,21.00,0.22,no,0.00,0.000
goe776-il,GOE 776 AIRFOIL,25.00,0.26,no,0.00,0.000
goe777-il,GOE 777 AIRFOIL,22.00,5.96,no,0.05,0.800
goe780-il,GOE 780 AIRFOIL,12.00,1.00,no,0.00,0.000
goe79-il,GOE 79 (PFALZ 11) AIRFOIL,6.17,5.99,YES,3.92,0.400
goe795-il,GOE 795 AIRFOIL,8.01,2.45,no,0.02,0.250
goe795sm-il,GOE 795 smoothed,8.03,2.44,no,0.04,0.371
goe796-il,GOE 796 AIRFOIL,12.00,3.69,no,0.00,0.500
goe797-il,GOE 797 AIRFOIL,16.00,5.02,no,0.00,0.600
goe798-il,GOE 798 AIRFOIL,20.00,6.17,no,0.00,0.400
goe07k-il,GOE 7K AIRFOIL,11.00,4.54,no,0.00,0.900
goe801-il,GOE 801 (MVA 301) AIRFOIL,9.80,6.18,YES,2.20,0.400
goe802a-il,GOE 802 A AIRFOIL,9.80,6.18,YES,2.22,0.400
goe802-il,GOE 802 AIRFOIL,9.80,6.18,YES,2.20,0.400
goe802b-il,GOE 802 B AIRFOIL,9.80,6.18,YES,2.22,0.400
goe803h-il,GOE 803 (HACKLINGER) AIRFOIL,6.30,6.67,YES,4.88,0.500
goe804-il,GOE 804 (EA 8) AIRFOIL,6.00,6.25,YES,3.66,0.600
goe81-il,GOE 81 AIRFOIL,7.43,6.30,YES,3.33,0.300
goe08k-il,GOE 8K AIRFOIL,14.85,6.13,no,0.00,0.900
goe92-il,GOE 92 AIRFOIL,8.77,5.55,YES,1.53,0.300
goe09k-il,GOE 9K AIRFOIL,2.45,0.90,no,0.00,0.200
k2-il,GRUMMAN K-2 AIRFOIL,10.27,2.45,YES,1.56,0.896
k3-il,GRUMMAN K-3 AIRFOIL,17.31,1.70,YES,2.07,0.818
glennmartin2-il,Glenn Martin 2,13.47,7.67,YES,1.14,0.400
glennmartin3-il,Glenn Martin 3,13.77,6.89,no,0.06,0.500
glennmartin4-il,Glenn Martin 4,15.49,7.67,no,0.06,0.900
goe765-il,Gottingen 765 airfoil (recovered). Thick: .144 LE radius: 0.02062 LE slope: 0.17300,14.40,1.90,no,0.00,0.000
griffith30symsuction-il,Griffith 30% Suction Airfoil,30.57,0.00,YES,3.11,0.861
hs1404-il,HAM-STD HS1-404 AIRFOIL,4.02,3.02,YES,1.74,0.480
hs1430-il,HAM-STD HS1-430 AIRFOIL,30.00,2.94,no,0.00,0.000
hs1606-il,HAM-STD HS1-606 AIRFOIL,6.01,4.24,YES,2.34,0.480
hs1620-il,HAM-STD HS1-620 AIRFOIL,20.02,4.10,no,0.01,0.260
hs1708-il,HAM-STD HS1-708 AIRFOIL,7.92,4.87,YES,2.35,0.460
hs1712-il,HAM-STD HS1-712 AIRFOIL,11.98,4.78,YES,0.88,0.680
tempest1-il,HAWKER TEMPEST 37.5% SEMISPAN AIRFOIL,14.50,1.04,no,0.00,0.996
tempest2-il,HAWKER TEMPEST 61% SEMISPAN AIRFOIL,12.00,0.94,no,0.00,0.996
tempest3-il,HAWKER TEMPEST 96.77% SEMISPAN AIRFOIL,10.00,1.03,no,0.00,0.000
hobie-il,HOBIE,8.49,3.96,YES,1.60,0.600
hobiesm-il,HOBIESMO1.DAT,8.57,3.98,YES,1.61,0.600
hq17-il,HORSTMANN AND QUAST HQ-17/14.38 AIRFOIL (MEASURED),15.22,4.51,YES,1.13,0.889
hq300gd2-il,HORSTMANN AND QUAST HQ-300 GD(MOD 2) AIRFOIL,16.57,3.75,YES,1.51,0.902
hq010-il,HQ 0/10 AIRFOIL,10.00,0.00,no,0.21,0.854
hq07-il,HQ 0/7 AIRFOIL,7.00,0.00,no,0.15,0.854
hq09-il,HQ 0/9 AIRFOIL,8.11,0.00,no,0.17,0.854
hq1010-il,HQ 1.0/10 AIRFOIL,9.96,1.00,YES,0.40,0.825
hq1012-il,HQ 1.0/12 AIRFOIL,11.96,1.00,YES,0.44,0.850
hq108-il,HQ 1.0/8 AIRFOIL,7.97,1.00,YES,0.37,0.825
hq109-il,HQ 1.0/9 AIRFOIL,8.98,1.00,YES,0.38,0.850
hq1510-il,HQ 1.5/10 AIRFOIL,9.96,1.50,YES,0.53,0.825
hq1511-il,HQ 1.5/11 AIRFOIL,11.00,1.50,YES,0.55,0.830
hq1512-il,HQ 1.5/12 AIRFOIL,11.96,1.50,YES,0.56,0.825
hq158-il,HQ 1.5/8 AIRFOIL,7.96,1.49,YES,0.51,0.825
hq1585-il,HQ 1.5/8.5 AIRFOIL,8.56,1.50,YES,0.60,0.800
hq159-il,HQ 1.5/9 AIRFOIL,8.97,1.50,YES,0.52,0.825
hq159b-il,HQ 1.5/9 B AIRFOIL,8.95,1.50,YES,0.52,0.804
hq2010-il,HQ 2.0/10 AIRFOIL,9.97,2.00,YES,0.67,0.825
hq2012-il,HQ 2.0/12 AIRFOIL,11.97,1.99,YES,0.70,0.825
hq208-il,HQ 2.0/8 AIRFOIL,7.98,1.99,YES,0.67,0.800
hq209-il,HQ 2.0/9 AIRFOIL,8.97,1.99,YES,0.67,0.825
hq2195-il,HQ 2.1/9.5 AIRFOIL,9.49,2.10,YES,0.77,0.850
hq2510-il,HQ 2.5/10 AIRFOIL,9.96,2.50,YES,0.83,0.800
hq2511-il,HQ 2.5/11 AIRFOIL,11.00,2.50,YES,0.83,0.830
hq2512-il,HQ 2.5/12 AIRFOIL,11.96,2.50,YES,0.84,0.825
hq258-il,HQ 2.5/8 AIRFOIL,7.97,2.50,YES,0.84,0.800
hq259-il,HQ 2.5/9 AIRFOIL,8.97,2.50,YES,0.83,0.800
hq259b-il,HQ 2.5/9 B AIRFOIL,9.03,2.53,YES,0.92,0.800
hq2590sm-il,HQ 2.5/9.0 smoothed by Eppler,9.03,2.53,YES,0.92,0.800
hq3010-il,HQ 3.0/10 AIRFOIL,9.98,2.99,YES,1.02,0.800
hq3011-il,HQ 3.0/11 AIRFOIL,10.98,2.99,YES,0.86,0.850
hq3012-il,HQ 3.0/12 AIRFOIL,11.98,2.99,YES,1.01,0.800
hq3013-il,HQ 3.0/13 AIRFOIL,12.99,3.00,YES,1.00,0.825
hq3014-il,HQ 3.0/14 AIRFOIL,13.99,2.99,YES,1.01,0.825
hq3015-il,HQ 3.0/15 AIRFOIL,14.98,2.99,YES,1.02,0.825
hq308-il,HQ 3.0/8 AIRFOIL,7.98,2.99,YES,1.04,0.800
hq309-il,HQ 3.0/9 AIRFOIL,8.98,2.99,YES,1.02,0.800
hq3510-il,HQ 3.5/10 AIRFOIL,9.96,3.50,YES,1.19,0.800
hq3512-il,HQ 3.5/12 AIRFOIL,11.96,3.50,YES,1.18,0.800
hq3513-il,HQ 3.5/13 AIRFOIL,13.00,3.50,YES,1.17,0.800
hq3514-il,HQ 3.5/14 AIRFOIL,14.00,3.50,YES,1.19,0.800
hq3518-il,HQ 3.5/18 AIRFOIL,18.00,3.50,YES,1.18,0.800
hq358-il,HQ 3.5/8 AIRFOIL,7.97,3.50,YES,1.24,0.800
hq359-il,HQ 3.5/9 AIRFOIL,8.97,3.50,YES,1.22,0.800
hq2090sm-il,HQ-2.0/9  9.0%   smoothed,8.97,1.99,YES,0.66,0.800
hsnlf213-il,HSNLF(1)-0213 AIRFOIL,13.25,1.37,YES,0.59,0.825
ht05-il,HT05,4.81,0.00,YES,0.54,0.630
ht08-il,HT08,5.00,0.07,no,0.00,0.000
ht12-il,HT12,5.02,0.00,no,0.05,0.483
ht22-il,HT22,5.08,1.07,no,0.00,0.932
ht23-il,HT23,6.51,1.08,no,0.01,0.894
hh02-il,HUGHES HELICOPTERS HH-02 AIRFOIL,9.57,2.02,YES,0.71,0.700
isa571-il,I.S.A. 571,7.37,4.33,YES,0.70,0.400
isa960-il,I.S.A. 960,9.46,5.71,YES,1.15,0.500
isa961-il,I.S.A. 961,9.27,5.67,YES,1.22,0.400
isa962-il,I.S.A. 962,9.58,5.93,YES,1.44,0.400
j5012-il,J5012   12%,12.00,0.00,no,0.00,0.997
jn153-il,JN-153 AIRFOIL,17.57,8.35,YES,2.32,0.698
joukowsk0015-jf,Joukovsky f=0% t=15%,14.99,0.00,YES,0.50,0.863
joukowsk0018-jf,Joukovsky f=0% t=18%,17.98,0.00,YES,0.60,0.862
joukowsk0021-jf,Joukovsky f=0% t=21%,21.00,0.00,YES,0.70,0.861
joukowsk0009-jf,Joukovsky f=0% t=9%,9.00,0.00,no,0.30,0.865
k3311-il,K3311  (original),11.00,3.25,YES,0.48,0.750
k3311sm-il,K3311 (smoothed),11.03,3.23,YES,0.47,0.756
kc135b-il,KC-135 BL124.32 AIRFOIL,12.98,1.57,no,0.00,0.700
kc135c-il,KC-135 BL200.76 AIRFOIL,10.59,1.66,no,0.00,0.850
kc135d-il,KC-135 BL351.6 AIRFOIL,8.99,2.00,no,0.00,0.850
kc135a-il,KC-135 BL52.44 AIRFOIL,15.49,1.58,no,0.00,0.750
kc135winglet-il,KC-135 Winglet (supercritical Whitcomb),7.96,2.41,YES,1.57,0.850
kenmar-il,KENNEDY AND MARSDEN AIRFOIL,27.92,7.70,YES,3.74,0.842
la2573a-il,LA2573A,13.70,3.19,no,0.08,0.938
lds2-il,LDS-2 AIRFOIL,11.97,2.16,no,0.01,0.651
l1003-il,LIEBECK L1003 AIRFOIL,17.69,6.53,YES,1.32,0.350
la5055-il,LIEBECK LA5055 AIRFOIL,15.93,5.93,YES,0.43,0.450
l7769-il,LISSAMAN 7769 AIRFOIL,10.98,4.43,YES,0.68,0.300
lnv109a-il,LNV109A,12.99,5.97,YES,2.37,0.460
c141a-il,LOCKHEED C-141 BL0 AIRFOIL,12.99,1.09,no,0.00,0.990
